@relation train

@attribute SeriousDlqin2yrs {NO,YES}
@attribute RevolvingUtilizationOfUnsecuredLines numeric
@attribute age numeric
@attribute NumberOfTime30-59DaysPastDueNotWorse numeric
@attribute DebtRatio numeric
@attribute MonthlyIncome numeric
@attribute NumberOfOpenCreditLinesAndLoans numeric
@attribute NumberOfTimes90DaysLate numeric
@attribute NumberRealEstateLoansOrLines numeric
@attribute NumberOfTime60-89DaysPastDueNotWorse numeric
@attribute NumberOfDependents numeric

@data
NO,0.026016,62,0,1475,?,11,0,1,0,0
NO,0.516718,47,0,0.312239,15833,18,0,3,0,0
NO,0.053434,41,0,0.452204,12500,7,0,2,0,2
NO,0.239192,67,0,0.199641,14500,12,0,1,0,0
NO,0.004593,64,0,0.186415,11350,16,0,1,1,3
NO,0.019527,66,0,6049,?,12,0,4,0,0
NO,0.154235,58,1,0.982948,4104,13,0,2,0,0
NO,0.45117,33,0,0.620374,4917,5,0,2,0,0
NO,0.511767,55,0,0.711401,5297,12,0,2,0,0
YES,0.305388,46,0,0.898051,2000,5,0,2,0,0
NO,0.005782,38,0,0.59847,6666,12,0,2,0,0
NO,0.01124,45,0,0.083246,3807,3,0,0,0,0
NO,0.07102,42,0,0.269006,5300,8,0,0,0,2
YES,0.141837,48,0,0.178683,5450,13,0,0,0,1
NO,0.008815,61,0,2.278177,416,8,0,2,0,0
NO,0.021064,45,0,0.652028,4166,7,0,4,0,1
NO,0.009169,52,0,1482,?,9,0,1,0,0
NO,0.462524,43,0,0.107433,9000,4,0,1,0,3
NO,0.374682,56,3,0.798712,2950,19,0,2,0,1
NO,1.053593,36,0,734,?,3,0,0,0,0
NO,0.460893,39,0,1456,?,6,0,1,0,2
NO,0.104294,51,0,0.319139,14300,17,0,2,0,3
NO,0.05041,55,0,0.242471,12916,8,0,2,0,0
NO,0.10548,33,0,0.425562,2800,8,0,1,0,1
NO,0.277151,56,0,3134,?,11,0,1,0,0
NO,0.007989,67,0,20,?,9,0,0,0,0
NO,0.053806,33,0,0.560617,6936,13,0,2,0,0
NO,0.029119,52,0,0.304283,7400,14,0,2,0,0
NO,0.033677,58,1,0.20506,4900,25,0,0,0,1
NO,0.393766,49,0,0.741376,6116,12,0,3,0,2
NO,0.780161,30,0,0.716128,10000,7,0,2,0,1
NO,1,65,0,858,?,2,0,1,0,0
NO,1,59,1,0.128515,4800,3,0,0,0,0
NO,0.129987,33,0,0.262334,4600,4,0,1,0,1
NO,0.092191,60,0,0.55098,2500,3,0,1,0,0
YES,1.039983,27,2,0.43497,1160,4,0,0,0,0
NO,0.096998,78,0,0.382074,3480,18,0,2,0,1
NO,0.017738,80,0,0.190546,6176,6,0,0,0,0
NO,0.028999,36,0,0.431009,7500,5,0,2,0,0
YES,0.914017,49,5,0.451794,6046,5,2,2,0,0
NO,0.062098,61,0,862,?,3,0,0,0,?
NO,0.079631,52,0,0.511298,5000,19,0,1,0,1
NO,0.156882,63,0,0.342025,6250,19,0,2,0,0
NO,0.132787,55,0,0.116777,4666,5,0,1,0,0
NO,0.00703,51,0,0.290588,8499,10,0,1,0,1
NO,0.057493,59,0,0.200486,2468,3,0,0,0,0
YES,0,72,0,0.169971,9583,3,0,1,0,0
NO,0.00338,77,0,0.001,5000,2,0,0,0,0
NO,0.000364,44,0,0.011655,4804,5,0,0,0,2
NO,0.977232,63,3,0.492945,3401,9,0,0,0,0
NO,0.019693,43,0,1068,?,8,0,0,0,0
NO,0,43,0,0.738318,4600,9,0,2,0,1
NO,0.276862,33,0,0.004014,3985,3,1,0,0,0
NO,1,24,0,0,3833,1,0,0,0,0
NO,0,46,0,0.348774,7749,11,0,2,0,2
NO,0.00026,44,0,0.319126,5583,15,0,2,0,0
NO,0.435325,40,0,0.251055,4500,8,0,0,0,0
