Id,Refractive_index,Sodium,Magnesium,Aluminum,Silicon,Potassium,Calcium,Barium,Iron,Glass_Type
149,1.51670,13.24,3.57,1.38,72.70,0.56,8.44,0.00,0.10,TYPE3
137,1.51806,13.00,3.80,1.08,73.07,0.56,8.38,0.00,0.12,TYPE2
181,1.51299,14.40,1.74,1.54,74.55,0.00,7.59,0.00,0.00,TYPE6
114,1.51892,13.46,3.83,1.26,72.55,0.57,8.21,0.00,0.14,TYPE2
127,1.51667,12.94,3.61,1.26,72.75,0.56,8.60,0.00,0.00,TYPE2
197,1.51556,13.87,0.00,2.54,73.23,0.14,9.41,0.81,0.01,TYPE7
9,1.51918,14.04,3.58,1.37,72.08,0.56,8.30,0.00,0.00,TYPE1
49,1.52223,13.21,3.77,0.79,71.99,0.13,10.02,0.00,0.00,TYPE1
186,1.51131,13.69,3.20,1.81,72.81,1.76,5.43,1.19,0.00,TYPE7
134,1.51800,13.71,3.93,1.54,71.81,0.54,8.21,0.00,0.15,TYPE2
51,1.52320,13.72,3.72,0.51,71.75,0.09,10.06,0.00,0.16,TYPE1
83,1.51646,13.41,3.55,1.25,72.81,0.68,8.10,0.00,0.00,TYPE2
161,1.51832,13.33,3.34,1.54,72.14,0.56,8.99,0.00,0.00,TYPE3
78,1.51627,13.00,3.58,1.54,72.83,0.61,8.04,0.00,0.00,TYPE2
3,1.51618,13.53,3.55,1.54,72.99,0.39,7.78,0.00,0.00,TYPE1
190,1.52365,15.79,1.83,1.31,70.43,0.31,8.61,1.68,0.00,TYPE7
93,1.51588,13.12,3.41,1.58,73.26,0.07,8.39,0.00,0.19,TYPE2
210,1.51623,14.14,0.00,2.88,72.61,0.08,9.18,1.06,0.00,TYPE7
187,1.51838,14.32,3.26,2.22,71.25,1.46,5.79,1.63,0.00,TYPE7
172,1.51316,13.02,0.00,3.04,70.48,6.21,6.96,0.00,0.00,TYPE5
132,1.52614,13.70,0.00,1.36,71.24,0.19,13.44,0.00,0.10,TYPE2
50,1.51898,13.58,3.35,1.23,72.08,0.59,8.91,0.00,0.00,TYPE1
120,1.51652,13.56,3.57,1.47,72.45,0.64,7.96,0.00,0.00,TYPE2
70,1.52300,13.31,3.58,0.82,71.99,0.12,10.17,0.00,0.03,TYPE1
192,1.51602,14.85,0.00,2.38,73.28,0.00,8.76,0.64,0.09,TYPE7
94,1.51590,13.24,3.34,1.47,73.10,0.39,8.22,0.00,0.00,TYPE2
169,1.51666,12.86,0.00,1.83,73.88,0.97,10.17,0.00,0.00,TYPE5
60,1.51754,13.39,3.66,1.19,72.79,0.57,8.27,0.00,0.11,TYPE1
63,1.52172,13.51,3.86,0.88,71.79,0.23,9.54,0.00,0.11,TYPE1
106,1.52475,11.45,0.00,1.88,72.19,0.81,13.24,0.00,0.34,TYPE2
80,1.51590,12.82,3.52,1.90,72.86,0.69,7.97,0.00,0.00,TYPE2
121,1.51844,13.25,3.76,1.32,72.40,0.58,8.42,0.00,0.00,TYPE2
147,1.51769,13.65,3.66,1.11,72.77,0.11,8.60,0.00,0.00,TYPE3
189,1.52247,14.86,2.20,2.06,70.26,0.76,9.76,0.00,0.00,TYPE7
108,1.53393,12.30,0.00,1.00,70.16,0.12,16.19,0.00,0.24,TYPE2
170,1.51994,13.27,0.00,1.76,73.03,0.47,11.32,0.00,0.00,TYPE5
102,1.51730,12.35,2.72,1.63,72.87,0.70,9.23,0.00,0.00,TYPE2
128,1.52081,13.78,2.28,1.43,71.99,0.49,9.85,0.00,0.17,TYPE2
7,1.51743,13.30,3.60,1.14,73.09,0.58,8.17,0.00,0.00,TYPE1
188,1.52315,13.44,3.34,1.23,72.38,0.60,8.83,0.00,0.00,TYPE7
81,1.51592,12.86,3.52,2.12,72.66,0.69,7.97,0.00,0.00,TYPE2
165,1.51915,12.73,1.85,1.86,72.69,0.60,10.09,0.00,0.00,TYPE5
104,1.52725,13.80,3.15,0.66,70.57,0.08,11.64,0.00,0.00,TYPE2
195,1.51683,14.56,0.00,1.98,73.29,0.00,8.52,1.57,0.07,TYPE7
95,1.51629,12.71,3.33,1.49,73.28,0.67,8.24,0.00,0.00,TYPE2
91,1.51841,12.93,3.74,1.11,72.28,0.64,8.96,0.00,0.22,TYPE2
2,1.51761,13.89,3.60,1.36,72.73,0.48,7.83,0.00,0.00,TYPE1
